IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
25010334;2198708;INSTITUT ESCOLA MAGRANERS;LLE;10/11/2025;10/11/2025;16;14;2;0;16;10;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198706;43007646;INSTITUT DE CONSTANTÍ;TAR;11/10/2025;11/10/2025;22;3;9;11;22;14;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198681;8044168;INSTITUT PLA DE LES MORERES;PEN;11/10/2025;11/10/2025;47;11;4;3;47;14;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Conversa directora. 28/11/2025. Esperant confirmació del num ordinadors que s'han endut. Repartits a alumnat de Batxillerat.;;;;;;;
2198717;43008523;INSTITUT VILA-SECA;TAR;11/11/2025;11/11/2025;22;0;18;22;21;22;No;NO;;;EQUIPAMENT ROBAT;;;;;;;;
2198692;43013099;INSTITUT ESCOLA AGUSTÍ BARBERÀ;TEB;11/11/2025;11/11/2025;47;30;5;5;47;35;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198719;8046669;INSTITUT RIBOT I SERRA;VOC;12/11/2025;12/11/2025;76;19;1;19;76;19;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;reunió via meet ambla coordinadora i la secretària per repassar INDIC i demanar evalisa (5/12);;;;;;;
2198728;8068616;INSTITUT BAGES SUD;CCE;12/11/2025;12/11/2025;35;35;10;10;35;35;SI;NO;;;;;;;;;;;
2198724;8043978;INSTITUT DANIEL BLANXART I PEDRALS;BLL;12/11/2025;12/11/2025;52;38;11;31;52;38;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Assessor: Es truca el 24-11-25, es parla amb el director i s'acorda l'enviament de l'evalisa.;;;;;;;
2198721;8034217;INSTITUT BERNAT EL FERRER;BLL;12/11/2025;12/11/2025;59;59;33;59;59;59;SI;NO;;;;;;;;;;;
2198729;25007700;INSTITUT ERMENGOL IV;LLE;12/11/2025;12/11/2025;9;0;1;10;10;10;SI;NO;;;;;;;;;;;
2198730;25007025;INSTITUT MORELLÓ;LLE;12/11/2025;12/11/2025;9;0;7;11;11;11;SI;NO;;;;;;;;;;;
